1stExec, 2ndExec, 3rdExec, 4thExec, 5thExec
0.932140, 0.928244, 0.937695, 0.939249, 0.946547
0.500602, 0.496531, 0.500766, 0.500707, 0.501070
0.337257, 0.353668, 0.350629, 0.355250, 0.349977
0.273460, 0.274042, 0.274790, 0.274926, 0.274336
0.244725, 0.243580, 0.244770, 0.245453, 0.246080
0.218409, 0.218738, 0.227467, 0.217581, 0.223090
0.204092, 0.202692, 0.205897, 0.204776, 0.204607
0.189912, 0.185239, 0.191314, 0.193078, 0.190031
0.188959, 0.183136, 0.186239, 0.192649, 0.194308
0.187839, 0.183350, 0.186366, 0.194473, 0.187009
0.178011, 0.180100, 0.177434, 0.179232, 0.186174
0.183800, 0.178088, 0.175939, 0.183610, 0.178892